email,password,name,phone,shipping_address
spike_user_27@eshop.test,Spike@Test123!,Spike User 27,0900000027,"27 Spike Street, District 8, Ho Chi Minh City"
spike_user_28@eshop.test,Spike@Test123!,Spike User 28,0900000028,"28 Spike Street, District 9, Ho Chi Minh City"
spike_user_29@eshop.test,Spike@Test123!,Spike User 29,0900000029,"29 Spike Street, District 10, Ho Chi Minh City"
spike_user_30@eshop.test,Spike@Test123!,Spike User 30,0900000030,"30 Spike Street, District 1, Ho Chi Minh City"
spike_user_31@eshop.test,Spike@Test123!,Spike User 31,0900000031,"31 Spike Street, District 2, Ho Chi Minh City"
spike_user_32@eshop.test,Spike@Test123!,Spike User 32,0900000032,"32 Spike Street, District 3, Ho Chi Minh City"
spike_user_33@eshop.test,Spike@Test123!,Spike User 33,0900000033,"33 Spike Street, District 4, Ho Chi Minh City"
spike_user_34@eshop.test,Spike@Test123!,Spike User 34,0900000034,"34 Spike Street, District 5, Ho Chi Minh City"
spike_user_35@eshop.test,Spike@Test123!,Spike User 35,0900000035,"35 Spike Street, District 6, Ho Chi Minh City"
spike_user_36@eshop.test,Spike@Test123!,Spike User 36,0900000036,"36 Spike Street, District 7, Ho Chi Minh City"
spike_user_37@eshop.test,Spike@Test123!,Spike User 37,0900000037,"37 Spike Street, District 8, Ho Chi Minh City"
spike_user_38@eshop.test,Spike@Test123!,Spike User 38,0900000038,"38 Spike Street, District 9, Ho Chi Minh City"
spike_user_39@eshop.test,Spike@Test123!,Spike User 39,0900000039,"39 Spike Street, District 10, Ho Chi Minh City"
spike_user_40@eshop.test,Spike@Test123!,Spike User 40,0900000040,"40 Spike Street, District 1, Ho Chi Minh City"
spike_user_41@eshop.test,Spike@Test123!,Spike User 41,0900000041,"41 Spike Street, District 2, Ho Chi Minh City"
spike_user_42@eshop.test,Spike@Test123!,Spike User 42,0900000042,"42 Spike Street, District 3, Ho Chi Minh City"
spike_user_43@eshop.test,Spike@Test123!,Spike User 43,0900000043,"43 Spike Street, District 4, Ho Chi Minh City"
spike_user_44@eshop.test,Spike@Test123!,Spike User 44,0900000044,"44 Spike Street, District 5, Ho Chi Minh City"
spike_user_45@eshop.test,Spike@Test123!,Spike User 45,0900000045,"45 Spike Street, District 6, Ho Chi Minh City"
spike_user_46@eshop.test,Spike@Test123!,Spike User 46,0900000046,"46 Spike Street, District 7, Ho Chi Minh City"
spike_user_47@eshop.test,Spike@Test123!,Spike User 47,0900000047,"47 Spike Street, District 8, Ho Chi Minh City"
spike_user_48@eshop.test,Spike@Test123!,Spike User 48,0900000048,"48 Spike Street, District 9, Ho Chi Minh City"
spike_user_49@eshop.test,Spike@Test123!,Spike User 49,0900000049,"49 Spike Street, District 10, Ho Chi Minh City"
spike_user_50@eshop.test,Spike@Test123!,Spike User 50,0900000050,"50 Spike Street, District 1, Ho Chi Minh City"
